#oID	individual	descriptor	value
180	1	INTENSITY/STRENGTH	32.071
262	1	INTENSITY/STRENGTH	35.815
264	1	INTENSITY/STRENGTH	54.151
323	1	INTENSITY/STRENGTH	66.606
702	1	INTENSITY/STRENGTH	20.497
750	1	INTENSITY/STRENGTH	18.717
753	1	INTENSITY/STRENGTH	37.849
962	1	INTENSITY/STRENGTH	22.202
1031	1	INTENSITY/STRENGTH	36.631
3102	1	INTENSITY/STRENGTH	46.62
3314	1	INTENSITY/STRENGTH	55.418
5862	1	INTENSITY/STRENGTH	29.594
5962	1	INTENSITY/STRENGTH	28.933
6274	1	INTENSITY/STRENGTH	27.469
6322	1	INTENSITY/STRENGTH	18.588
6506	1	INTENSITY/STRENGTH	33.939
6544	1	INTENSITY/STRENGTH	68.426
6561	1	INTENSITY/STRENGTH	38.661
6669	1	INTENSITY/STRENGTH	20.713
7092	1	INTENSITY/STRENGTH	64.506
7137	1	INTENSITY/STRENGTH	58.413
7302	1	INTENSITY/STRENGTH	46.323
7476	1	INTENSITY/STRENGTH	63.118
7559	1	INTENSITY/STRENGTH	66.176
7657	1	INTENSITY/STRENGTH	31.47
7770	1	INTENSITY/STRENGTH	63.534
7793	1	INTENSITY/STRENGTH	67.404
7797	1	INTENSITY/STRENGTH	59.651
8025	1	INTENSITY/STRENGTH	35.962
8049	1	INTENSITY/STRENGTH	25.209
8094	1	INTENSITY/STRENGTH	63.6
8419	1	INTENSITY/STRENGTH	59.283
8438	1	INTENSITY/STRENGTH	61.834
8468	1	INTENSITY/STRENGTH	39.172
8815	1	INTENSITY/STRENGTH	57.419
8878	1	INTENSITY/STRENGTH	57.052
9012	1	INTENSITY/STRENGTH	45.329
10886	1	INTENSITY/STRENGTH	42.113
11567	1	INTENSITY/STRENGTH	68.614
12020	1	INTENSITY/STRENGTH	55.372
12265	1	INTENSITY/STRENGTH	46.846
12377	1	INTENSITY/STRENGTH	62.804
15654	1	INTENSITY/STRENGTH	68.619
16537	1	INTENSITY/STRENGTH	59.716
17898	1	INTENSITY/STRENGTH	57.361
18467	1	INTENSITY/STRENGTH	54.042
21363	1	INTENSITY/STRENGTH	61.501
27440	1	INTENSITY/STRENGTH	68.169
31219	1	INTENSITY/STRENGTH	58.074
31276	1	INTENSITY/STRENGTH	60.326
31283	1	INTENSITY/STRENGTH	23.428
60998	1	INTENSITY/STRENGTH	48.555
61523	1	INTENSITY/STRENGTH	59.59
62089	1	INTENSITY/STRENGTH	60.686
62351	1	INTENSITY/STRENGTH	66.066
62465	1	INTENSITY/STRENGTH	55.114
251531	1	INTENSITY/STRENGTH	44.02
440917	1	INTENSITY/STRENGTH	61.25
637758	1	INTENSITY/STRENGTH	50.16
853433	1	INTENSITY/STRENGTH	55.918
1549025	1	INTENSITY/STRENGTH	52.559
2733294	1	INTENSITY/STRENGTH	63.565
5281167	1	INTENSITY/STRENGTH	57.122
5281168	1	INTENSITY/STRENGTH	60.173
5318599	1	INTENSITY/STRENGTH	60.401
5352837	1	INTENSITY/STRENGTH	62.293
5364231	1	INTENSITY/STRENGTH	55.077
5371102	1	INTENSITY/STRENGTH	42.264
10857465	1	INTENSITY/STRENGTH	28.632
180	1	VALENCE/PLEASANTNESS	41.402
262	1	VALENCE/PLEASANTNESS	46.648
264	1	VALENCE/PLEASANTNESS	34.497
323	1	VALENCE/PLEASANTNESS	57.311
702	1	VALENCE/PLEASANTNESS	44.347
750	1	VALENCE/PLEASANTNESS	42.041
753	1	VALENCE/PLEASANTNESS	40.488
962	1	VALENCE/PLEASANTNESS	60.298
1031	1	VALENCE/PLEASANTNESS	36.419
3102	1	VALENCE/PLEASANTNESS	51.92
3314	1	VALENCE/PLEASANTNESS	44.267
5862	1	VALENCE/PLEASANTNESS	29.129
5962	1	VALENCE/PLEASANTNESS	41.705
6274	1	VALENCE/PLEASANTNESS	37.974
6322	1	VALENCE/PLEASANTNESS	58.529
6506	1	VALENCE/PLEASANTNESS	35.065
6544	1	VALENCE/PLEASANTNESS	54.123
6561	1	VALENCE/PLEASANTNESS	35.578
6669	1	VALENCE/PLEASANTNESS	37.358
